concept,clarity_5s,virality,retention,referral_link,reward_cost,mvp,antifraud,vpn_fit,reputation,total
Doodle Route: сезонная карта,5,5,4,5,4,5,4,4,4,40
Internet Passport: марки стран,5,4,4,4,4,5,5,4,4,39
Shield Team: команда из 3–5,4,5,4,5,4,4,3,4,4,37
Referral Relay: цепочка подарков,4,5,3,5,4,4,3,4,4,36
Shield City: общая защита города,4,4,4,4,3,3,4,4,4,34
Privacy Garden / питомец,5,3,4,3,4,4,5,4,4,36
Server City builder,4,3,4,4,3,3,4,4,4,33
Referral Boss,4,4,3,5,3,5,3,3,4,34
Mission board + достижения,5,3,3,4,4,5,5,4,4,37
Лиги маршрутов,3,4,4,4,3,3,3,3,3,30
Gift a Shield,5,5,3,5,4,5,5,5,4,41
Treasure Map без рандома,4,4,4,4,3,4,4,4,4,35
Коллекционные стикеры,5,4,3,3,5,4,5,5,4,38
Общая цель сообщества,5,3,3,2,5,5,5,5,4,37
Асинхронная экспедиция,3,4,4,4,3,3,3,4,4,32
Кейсы/рулетка с ценными призами,5,5,3,4,2,5,1,1,1,27
