strategy,profit,ru_fit,viral,speed,clarity,durability,antifraud,measurement,reputation,owner,profit_heavy,viral_heavy,risk_speed
Текущие 20%,45,72,48,100,70,68,82,60,80,64.15,61.4,62.0,69.6
"20%, вывод от $3",60,78,55,95,82,66,78,80,80,71.15,69.4,68.4,75.6
20% + мгновенная трата в VPN,78,92,64,92,95,84,90,95,92,83.85,83.0,80.2,86.4
7 дней рефереру вместо денег,62,86,68,90,92,70,82,90,90,76.9,73.9,75.1,80.2
3 активных = бесплатный VPN,54,82,60,86,72,58,68,90,84,68.5,65.9,67.1,72.3
Выбор: деньги или VPN,73,91,70,85,84,80,82,92,90,80.5,79.2,78.6,82.0
20% + 7 дней другу после оплаты,81,92,85,88,94,75,80,94,92,85.8,84.4,85.2,86.65
30-дневный referral-спринт,74,88,90,84,90,58,66,92,78,80.2,77.9,81.1,81.0
Розыгрыш среди оплативших друзей,42,68,82,74,76,42,35,86,30,59.75,54.75,62.75,61.5
Игра + фиксированный магазин,61,80,86,65,76,62,60,84,76,71.45,68.5,73.5,70.7
Игра + случайные ценные призы,45,72,91,62,78,46,35,80,42,62.15,56.85,66.05,61.4
Новые партнёры: $2 first-paid + 10% recurring,76,82,72,72,76,80,70,90,76,76.7,76.6,75.8,76.4
Lifecycle/winback без скидки,82,92,38,92,90,86,94,94,94,80.9,82.2,73.4,84.6
Внутренний баланс + 7 дней другу,86,95,88,78,88,86,78,95,92,87.4,86.75,87.15,86.1
Гибрид + сезонный Doodle Route,72,86,94,58,74,70,58,88,76,76.3,74.4,78.8,73.3
