scenario,strategy,incremental_payers,incremental_30d_revenue,existing_ref_obligation,new_cash_rewards,free_access_infra,server_cost,external_prizes,opportunity_cost,cannibalized_revenue,fraud_reserve,baseline_commission_savings,baseline_reward_subsidy,net_incremental_contribution,break_even_incremental_payers,max_additional_reward_budget_at_$2_margin,cash_release_existing_liability
pessimistic,Текущие 20%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,Текущие 20%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggressive,Текущие 20%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pessimistic,"20%, вывод от $3",1.75,12.215,2.443,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,9.352,0.0,5.852,50.0
base,"20%, вывод от $3",4.2,29.316000000000003,5.863200000000001,0.0,0.0,0.504,0.0,0.0,0.0,0.0,0.0,0.0,22.948800000000002,0.0,14.548800000000002,150.0
aggressive,"20%, вывод от $3",7.0,48.86,9.772,0.0,0.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,38.738,0.0,24.738,300.0
pessimistic,20% + мгновенная трата в VPN,3.5,24.43,4.886,0.0,0.0,0.84,0.0,0.0,10.0,0.0,0.0,0.0,8.704,1.87125748502994,11.704,0.0
base,20% + мгновенная трата в VPN,8.75,61.075,12.215000000000002,0.0,0.0,1.05,0.0,0.0,25.0,0.0,0.0,0.0,22.810000000000002,4.575402635431917,30.310000000000002,0.0
aggressive,20% + мгновенная трата в VPN,14.0,97.72,19.544,0.0,0.0,0.7000000000000001,0.0,0.0,50.0,0.0,0.0,0.0,27.476,9.035056017347307,49.476,0.0
pessimistic,7 дней рефереру вместо денег,2.8000000000000003,19.544000000000004,0.0,0.0,2.1167999999999996,0.672,0.0,27.6066,0.0,0.0,48.86000000000001,27.521666666666665,38.008600000000015,-3.584065841778177,13.272000000000002,0.0
base,7 дней рефереру вместо денег,7.0,48.86,0.0,0.0,1.176,0.84,0.0,15.337,0.0,0.0,48.86000000000001,13.76083333333333,80.367,-5.427566299837634,34.019999999999996,0.0
aggressive,7 дней рефереру вместо денег,12.25,85.50500000000001,0.0,0.0,0.55125,0.6125,0.0,8.6270625,0.0,0.0,48.86000000000001,6.798749999999998,124.57418750000002,-6.2444790854767485,60.39250000000001,0.0
pessimistic,3 активных = бесплатный VPN,1.75,12.215,2.443,0.0,0.0,0.42,0.0,0.0,36.3,0.0,0.0,0.0,-26.947999999999997,6.792664670658682,5.852,0.0
base,3 активных = бесплатный VPN,5.25,36.645,7.329000000000001,0.0,0.0,0.63,0.0,0.0,36.3,0.0,0.0,0.0,-7.613999999999994,6.643484626647144,18.186000000000003,0.0
aggressive,3 активных = бесплатный VPN,10.5,73.29,14.658000000000001,0.0,0.0,0.525,0.0,0.0,36.3,0.0,0.0,0.0,21.80700000000001,6.559450668594144,37.107000000000006,0.0
pessimistic,Выбор: деньги или VPN,3.5,24.43,4.886,0.0,0.0,0.84,0.0,0.0,8.0,0.0,0.0,0.0,10.704,1.497005988023952,11.704,0.0
base,Выбор: деньги или VPN,7.0,48.86,9.772,0.0,0.0,0.84,0.0,0.0,20.0,0.0,0.0,0.0,18.247999999999998,3.660322108345534,24.247999999999998,0.0
aggressive,Выбор: деньги или VPN,12.25,85.50500000000001,17.101000000000003,0.0,0.0,0.6125,0.0,0.0,40.0,0.0,0.0,0.0,27.791500000000013,7.228044813877845,43.29150000000001,0.0
pessimistic,20% + 7 дней другу после оплаты,4.2,29.316000000000003,5.863200000000001,0.0,2.1952,1.008,0.0,28.629066666666667,0.0,0.0,0.0,27.521666666666665,-8.379466666666662,6.038543114166605,14.044800000000004,0.0
base,20% + 7 дней другу после оплаты,9.8,68.40400000000001,13.680800000000003,0.0,1.2544,1.176,0.0,16.359466666666666,0.0,0.0,0.0,13.760833333333332,35.93333333333334,2.7137222678718156,33.9472,0.0
aggressive,20% + 7 дней другу после оплаты,17.5,122.15,24.430000000000003,0.0,0.6125,0.875,0.0,9.585624999999999,0.0,0.0,0.0,6.798749999999999,86.64687500000001,1.2732337656257313,61.845,0.0
