play,cold_pull,doodle_fit,zero_upfront,speed_to_evidence,scalability,economics_measurement,verdict,score,rank
Doodle Rescue: 1 GB reserve + Network Doctor + problem capture,95,95,90,75,90,80,Primary 90-day engine,89.0,1
Network Doctor + current 3-day trial,75,95,95,90,80,90,Fallback if free reserve fails,86.5,2
Manual expert answers in communities,72,85,95,80,55,65,Distribution layer for Rescue,76.0,3
Outsider micro-affiliates on verified revenue only,68,65,90,70,80,90,Acceleration after unit economics proof,75.0,4
Long-tail problem content with current offer,68,75,95,45,90,80,"Necessary compounding layer, weak alone",74.5,5
Broad paid placements,85,70,0,95,90,90,Infeasible under the zero-budget constraint,72.0,6
Referral UX/sprint for the current base,35,90,95,90,40,90,Multiplier only; social graphs are saturated,69.5,7
Family/group plan and gifting,45,80,90,70,55,90,"Monetization loop, not cold acquisition",68.5,8
B2B2C bundles with services and communities,60,70,85,50,75,75,Secondary portfolio channel,68.0,9
Free browser extension -> paid full-device VPN,75,55,70,45,85,80,"Good later wedge, too much new product now",67.8,10
App-store listings and ASO,55,75,85,45,75,70,Distribution hygiene,66.5,11
Telegram Stars affiliate discovery,50,40,75,50,75,85,Requires Stars purchase path and separate economics,59.0,12
Telegram Mini App game,45,50,80,55,70,65,No distribution of its own,58.5,13
